PropertyName,Area,Rooms,Price (per thousand pounds),Walking time to the nearest metro station (mins),"Furnishing ( Furnished, Partially Furnished, Not Furnished)",Pet Accepted,Availability,Supermarket Nearby,School Nearby (Y/N),Buy/Rent,Balcony,Size (sqft),No. of toilets,Property Type,Level,Greater London/London,,
185 St. John's Manor,Haringey,One Bedroom,430,29,Partially Furnished,Yes,3/9/2022,No,No,Rent,No,494,1,Flat/Appartment,Middle,Greater London,,
210 Duchess Street,Enfield,Four or more Bedrooms,975,5,Partially Furnished,No,3/10/2022,No,No,Buy,No,1329,4,Flat/Appartment,High,Greater London,,
137 East Road,Hillingdon,One Bedroom,411,20,Furnished,Yes,3/11/2022,Yes,No,Rent,No,493,1,Flat/Appartment,High,Greater London,,
214 St. James Street,Brent,Three Bedroom,1550,7,Not furnished,No,3/12/2022,Yes,Yes,Buy,Yes,917,1,Flat/Appartment,High,London,,
18 South Manor,Tower Hamlets,Two Bedroom,1517,13,Not furnished,Yes,3/13/2022,Yes,Yes,Buy,No,897,2,Flat/Appartment,High,London,,
155 South Avenue,Enfield,One Bedroom,766,3,Not furnished,Yes,3/14/2022,No,No,Rent,Yes,659,1,Flat/Appartment,High,London,,
83 Victoria Road,Tower Hamlets,Four or more Bedrooms,1300,22,Furnished,Yes,3/15/2022,Yes,Yes,Rent,Yes,1435,5,Flat/Appartment,High,Greater London,,
27 Grange Crescent,NORTH WEST,One Bedroom,415,17,Not furnished,Yes,3/16/2022,No,Yes,Buy,Yes,445,1,Flat/Appartment,Middle,London,,
133 St. James Lane,Richmond upon Thames,Four or more Bedrooms,2850,24,Furnished,Yes,3/17/2022,No,No,Buy,No,1316,7,Flat/Appartment,High,London,,
144 Diamond Estate,Newham,Two Bedroom,950,24,Furnished,Yes,3/18/2022,No,Yes,Rent,Yes,881,2,Flat/Appartment,Low,Greater London,,
4 South Lane,Southwark,One Bedroom,997,27,Furnished,No,3/19/2022,No,Yes,Buy,No,688,1,Flat/Appartment,Low,Greater London,,
146 West Lane,Kensington and Chelsea,Three Bedroom,4333,5,Partially Furnished,No,3/20/2022,Yes,Yes,Buy,No,905,2,Flat/Appartment,High,London,,
145 St. James Manor,Sutton,Four or more Bedrooms,775,10,Furnished,Yes,3/21/2022,Yes,Yes,Rent,No,1260,4,Flat/Appartment,Middle,Greater London,,
109 St. John's Lane,Harrow,Four or more Bedrooms,1050,30,Furnished,Yes,3/22/2022,Yes,No,Rent,Yes,1463,6,Flat/Appartment,High,London,,
115 North Drive,Lewisham,Four or more Bedrooms,1700,29,Partially Furnished,Yes,3/23/2022,No,Yes,Rent,No,1473,6,Flat/Appartment,High,Greater London,,
36 St. John's Street,Waltham Forest,One Bedroom,737,2,Furnished,No,3/24/2022,Yes,No,Buy,Yes,598,1,Flat/Appartment,Low,London,,
152 Duchess Road,Richmond upon Thames,Three Bedroom,1600,15,Partially Furnished,No,3/25/2022,No,Yes,Rent,No,1135,1,Flat/Appartment,Low,London,,
168 South Crescent,Islington,One Bedroom,498,24,Partially Furnished,No,3/26/2022,No,Yes,Buy,No,620,1,Flat/Appartment,High,London,,
158 North Drive,NORTH EAST,Two Bedroom,450,8,Not furnished,Yes,3/27/2022,No,No,Rent,Yes,731,2,Flat/Appartment,Middle,London,,
123 Merton Avenue,WEST MIDLANDS,Four or more Bedrooms,825,3,Not furnished,No,3/28/2022,No,No,Rent,No,1566,4,Flat/Appartment,High,London,,
14 Grange Drive,Richmond upon Thames,Four or more Bedrooms,1150,2,Furnished,Yes,3/29/2022,Yes,Yes,Buy,No,1584,5,Flat/Appartment,High,London,,
188 St. John's Street,Merton,One Bedroom,412,12,Not furnished,No,3/30/2022,Yes,No,Rent,No,507,1,Flat/Appartment,High,Greater London,,
79 Duchess Street,Waltham Forest,One Bedroom,368,7,Partially Furnished,No,3/31/2022,Yes,No,Rent,No,459,1,Flat/Appartment,High,London,,
207 North Avenue,Waltham Forest,Two Bedroom,932,8,Partially Furnished,Yes,4/1/2022,No,No,Buy,Yes,837,2,Flat/Appartment,High,Greater London,,
193 St. James Lane,Ealing,Four or more Bedrooms,1000,23,Furnished,No,4/2/2022,No,No,Rent,Yes,1393,5,Flat/Appartment,Low,Greater London,,
30 South Street,Hillingdon,Three Bedroom,1150,9,Not furnished,No,4/3/2022,No,No,Rent,No,1075,1,Others,Middle,Greater London,,
77 Duchess Estate,LONDON,Four or more Bedrooms,1095,28,Furnished,No,4/4/2022,No,Yes,Rent,No,1375,6,Others,High,London,,
49 St. James Lane,Kingston upon Thames,One Bedroom,850,13,Furnished,No,4/5/2022,No,No,Buy,Yes,581,1,Others,Middle,London,,
196 St. James Road,Enfield,Two Bedroom,1000,24,Furnished,No,4/6/2022,Yes,Yes,Buy,Yes,847,2,Others,Middle,London,,
1 Merton Drive,Wandsworth,One Bedroom,392,20,Furnished,Yes,4/7/2022,Yes,No,Buy,Yes,576,1,Others,Low,London,,
64 West Estate,Lewisham,Two Bedroom,975,29,Furnished,No,4/8/2022,No,No,Rent,No,872,1,Others,High,London,,
150 Merton Drive,Havering,Three Bedroom,975,27,Not furnished,No,4/9/2022,Yes,Yes,Rent,Yes,1164,2,Others,Middle,Greater London,,
49 South Drive,Haringey,Two Bedroom,1235,1,Not furnished,No,4/10/2022,No,Yes,Buy,No,876,2,Others,Middle,Greater London,,
115 South Estate,Inner London,Three Bedroom,1820,14,Not furnished,Yes,4/11/2022,Yes,Yes,Rent,Yes,1143,2,Others,High,London,,
213 St. James Manor,Croydon,Four or more Bedrooms,1450,24,Furnished,No,4/12/2022,Yes,No,Buy,Yes,1251,7,Others,Middle,London,,
96 South Lane,Kingston upon Thames,Four or more Bedrooms,850,8,Furnished,Yes,4/13/2022,No,Yes,Buy,No,1300,7,Others,High,London,,
14 West Street,City of London,Three Bedroom,925,29,Not furnished,Yes,4/14/2022,Yes,Yes,Rent,Yes,1022,1,Others,Low,London,,
19 Duchess Avenue,Bromley,One Bedroom,400,12,Partially Furnished,Yes,4/15/2022,No,Yes,Buy,Yes,579,1,Others,Middle,London,,
124 Diamond Crescent,YORKSHIRE AND THE HUMBER,Four or more Bedrooms,850,1,Not furnished,No,4/16/2022,Yes,Yes,Rent,Yes,1204,7,Others,Middle,Greater London,,
76 Elizabeth Drive,Bromley,One Bedroom,400,30,Partially Furnished,No,4/17/2022,Yes,No,Buy,Yes,512,1,Others,Middle,London,,
2 Duchess Avenue,Havering,One Bedroom,374,11,Partially Furnished,Yes,4/18/2022,No,Yes,Rent,Yes,603,1,Others,High,Greater London,,
7 St. John's Estate,Islington,One Bedroom,1257,19,Partially Furnished,Yes,4/19/2022,No,No,Rent,No,527,1,Others,Middle,London,,
170 Elizabeth Avenue,Kensington and Chelsea,Four or more Bedrooms,2145,24,Furnished,No,4/20/2022,Yes,No,Buy,No,1577,6,Others,Middle,London,,
142 West Manor,Islington,Two Bedroom,1625,3,Partially Furnished,Yes,4/21/2022,Yes,No,Buy,Yes,707,1,Others,Middle,Greater London,,
79 Victoria Crescent,Westminster,Two Bedroom,2275,4,Furnished,Yes,4/22/2022,No,No,Rent,Yes,709,2,Others,High,London,,
128 South Estate,City of London,Four or more Bedrooms,2674,2,Partially Furnished,No,4/23/2022,No,,Rent,Yes,1329,6,Others,Low,London,,
28 East Drive,SOUTH WEST,Four or more Bedrooms,595,8,Partially Furnished,Yes,4/24/2022,Yes,Yes,Rent,No,1248,5,Others,Low,London,,
59 Diamond Road,Merton,Four or more Bedrooms,1750,2,Partially Furnished,Yes,4/25/2022,No,No,Rent,No,1279,4,Others,High,London,,
116 East Manor,Newham,One Bedroom,801,18,Not furnished,No,4/26/2022,Yes,Yes,Buy,No,471,1,Others,Low,Greater London,,
17 Duchess Road,Enfield,Three Bedroom,1250,8,Not furnished,Yes,4/27/2022,No,Yes,Buy,Yes,1164,3,Others,Middle,Greater London,,
155 St. John's Road,Haringey,One Bedroom,430,12,Partially Furnished,Yes,4/28/2022,No,No,Rent,Yes,467,1,Others,Low,London,,
169 Elizabeth Manor,Merton,Three Bedroom,1350,25,Furnished,Yes,4/29/2022,No,No,Buy,No,943,1,Others,Middle,Greater London,,
188 Duchess Lane,EAST MIDLANDS,Three Bedroom,550,23,Furnished,No,4/30/2022,Yes,Yes,Buy,No,1184,3,Others,Middle,London,,
7 North Lane,Hillingdon,One Bedroom,750,14,Partially Furnished,Yes,5/1/2022,Yes,Yes,Buy,No,531,1,Others,High,Greater London,,
150 Grange Street,Southwark,One Bedroom,455,16,Partially Furnished,No,5/2/2022,No,Yes,Rent,Yes,556,1,Others,Low,London,,
121 St. James Avenue,Outer London,One Bedroom,775,30,Not furnished,Yes,5/3/2022,No,Yes,Buy,No,621,1,Others,Low,London,,
114 East Avenue,Haringey,Four or more Bedrooms,901,12,Partially Furnished,No,5/4/2022,Yes,No,Rent,Yes,1428,4,Others,Middle,London,,
13 Diamond Lane,Barnet,One Bedroom,433,11,Furnished,No,5/5/2022,Yes,No,Buy,Yes,469,1,Others,Low,London,,
190 St. James Lane,Westminster,Two Bedroom,2383,14,Furnished,Yes,5/6/2022,No,Yes,Buy,Yes,701,2,Others,Low,Greater London,,
48 Merton Drive,Camden,Four or more Bedrooms,3033,30,Not furnished,Yes,5/7/2022,No,No,Buy,Yes,1451,4,Others,High,London,,
23 Elizabeth Street,Bromley,One Bedroom,725,7,Not furnished,No,5/8/2022,Yes,No,Buy,No,686,1,Others,Low,Greater London,,
200 St. John's Street,EAST MIDLANDS,Four or more Bedrooms,775,12,Furnished,No,5/9/2022,No,Yes,Buy,No,1210,6,Others,High,Greater London,,
33 St. James Street,Waltham Forest,One Bedroom,375,18,Furnished,No,5/10/2022,No,Yes,Buy,No,452,1,Others,Middle,London,,
19 Diamond Avenue,Kensington and Chelsea,Two Bedroom,2492,17,Partially Furnished,No,5/11/2022,No,No,Rent,No,752,1,Others,High,London,,
160 Merton Avenue,Westminster,One Bedroom,650,10,Not furnished,No,5/12/2022,Yes,No,Buy,No,567,1,Others,Low,Greater London,,
172 East Drive,Hammersmith and Fulham,Four or more Bedrooms,1517,24,Furnished,No,5/13/2022,Yes,Yes,Rent,No,1590,5,Others,Low,London,,
109 Elizabeth Estate,Richmond upon Thames,Four or more Bedrooms,1150,11,Furnished,No,5/14/2022,Yes,No,Rent,Yes,1226,5,Others,Middle,Greater London,,
127 St. James Avenue,Hillingdon,Four or more Bedrooms,1500,2,Partially Furnished,No,5/15/2022,Yes,No,Buy,Yes,1341,7,Others,Middle,Greater London,,
190 South Drive,Richmond upon Thames,Two Bedroom,1300,30,Furnished,Yes,5/16/2022,No,No,Buy,No,884,2,Others,High,London,,
1 West Avenue,YORKSHIRE AND THE HUMBER,One Bedroom,286,14,Furnished,Yes,5/17/2022,No,No,Buy,Yes,474,1,Others,High,Greater London,,
174 Duchess Estate,Westminster,One Bedroom,1625,11,Partially Furnished,No,5/18/2022,Yes,No,Buy,Yes,543,1,Others,Low,Greater London,,
127 Diamond Drive,NORTH WEST,Four or more Bedrooms,795,5,Furnished,No,5/19/2022,No,Yes,Rent,Yes,1373,7,Others,Middle,London,,
62 West Road,Southwark,Four or more Bedrooms,2002,30,Partially Furnished,Yes,5/20/2022,Yes,Yes,Buy,No,1414,7,Others,High,Greater London,,
70 St. James Drive,Sutton,One Bedroom,430,5,Partially Furnished,No,5/21/2022,No,No,Rent,No,633,1,Others,High,London,,
26 Grange Drive,Merton,Four or more Bedrooms,1000,27,Furnished,Yes,5/22/2022,No,Yes,Rent,No,1423,5,Others,Low,Greater London,,
90 St. John's Lane,Enfield,Four or more Bedrooms,949,24,Furnished,Yes,5/23/2022,Yes,No,Rent,Yes,1447,7,Others,High,London,,
128 North Drive,Merton,Three Bedroom,1300,25,Furnished,Yes,5/24/2022,Yes,No,Rent,No,1156,3,Others,Low,London,,
69 Grange Road,Brent,Two Bedroom,1300,26,Furnished,Yes,5/25/2022,Yes,No,Rent,No,835,2,Others,Low,Greater London,,
151 Diamond Road,Islington,Four or more Bedrooms,1387,20,Partially Furnished,No,5/26/2022,Yes,No,Rent,No,1581,7,Others,Middle,Greater London,,
105 Grange Road,Croydon,Four or more Bedrooms,1500,11,Not furnished,Yes,5/27/2022,Yes,Yes,Buy,No,1263,6,Others,Middle,Greater London,,
112 Merton Manor,Outer London,One Bedroom,400,15,Furnished,No,5/28/2022,No,No,Buy,No,613,1,Others,High,Greater London,,
135 West Drive,Bexley,One Bedroom,380,1,Not furnished,Yes,5/29/2022,Yes,No,Rent,No,485,1,Others,Low,London,,
59 South Manor,Camden,Three Bedroom,2297,20,Partially Furnished,Yes,5/30/2022,No,Yes,Buy,No,1151,1,Others,Middle,Greater London,,
151 Elizabeth Avenue,Lambeth,Four or more Bedrooms,2145,17,Furnished,Yes,5/31/2022,Yes,No,Rent,No,1572,5,Others,Middle,Greater London,,
7 North Street,Brent,Three Bedroom,1517,20,Partially Furnished,Yes,6/1/2022,No,Yes,Rent,Yes,1067,3,Others,High,London,,
53 West Lane,Bromley,One Bedroom,400,23,Furnished,Yes,6/2/2022,Yes,No,Buy,Yes,507,1,Others,High,London,,
203 West Road,Brent,Four or more Bedrooms,1950,14,Not furnished,Yes,6/3/2022,Yes,No,Rent,No,1458,4,Others,High,London,,
20 East Road,Hackney,One Bedroom,1083,8,Not furnished,Yes,6/4/2022,No,No,Buy,Yes,665,1,Others,High,London,,
123 Diamond Avenue,Inner London,Four or more Bedrooms,1300,7,Furnished,No,6/5/2022,No,Yes,Buy,No,1250,6,Others,Low,Greater London,,
133 St. John's Road,Merton,One Bedroom,900,20,Furnished,Yes,6/6/2022,Yes,Yes,Buy,No,431,1,Others,Middle,London,,
164 Duchess Drive,Outer London,One Bedroom,400,10,Not furnished,Yes,6/7/2022,No,No,Rent,No,498,1,Others,High,Greater London,,
184 Duchess Street,EAST,Three Bedroom,675,7,Furnished,Yes,6/8/2022,No,Yes,Rent,Yes,1035,3,Others,Low,London,,
5 Grange Drive,Hounslow,Four or more Bedrooms,1595,13,Furnished,Yes,6/9/2022,No,Yes,Buy,Yes,1424,4,Others,Middle,Greater London,,
18 North Estate,Bromley,Four or more Bedrooms,1600,16,Not furnished,No,6/10/2022,Yes,No,Buy,Yes,1225,7,Others,Low,Greater London,,
113 Victoria Street,Barnet,Four or more Bedrooms,1062,1,Partially Furnished,No,6/11/2022,Yes,Yes,Buy,Yes,1365,7,Others,Low,Greater London,,
173 Victoria Street,Inner London,Four or more Bedrooms,2383,13,Furnished,No,6/12/2022,Yes,No,Rent,Yes,1231,7,Others,Low,Greater London,,
212 Diamond Manor,Hounslow,One Bedroom,400,27,Furnished,No,6/13/2022,Yes,Yes,Rent,No,690,1,Others,Low,Greater London,,
126 Duchess Avenue,Inner London,One Bedroom,1192,8,Furnished,Yes,6/14/2022,Yes,Yes,Rent,Yes,635,1,Others,Middle,Greater London,,
126 Diamond Manor,Inner London,Two Bedroom,1473,16,Partially Furnished,Yes,6/15/2022,No,No,Rent,Yes,724,2,Others,Middle,London,,
137 Duchess Drive,Hillingdon,Three Bedroom,1200,2,Partially Furnished,No,6/16/2022,No,Yes,Buy,Yes,1045,2,Others,Low,London,,
180 Elizabeth Lane,Newham,One Bedroom,386,2,Not furnished,No,6/17/2022,No,Yes,Rent,No,670,1,Others,Middle,Greater London,,
55 Merton Drive,Hackney,Four or more Bedrooms,1192,24,Not furnished,No,6/18/2022,Yes,No,Rent,Yes,1207,6,Others,Middle,London,,
152 North Drive,SOUTH EAST,Four or more Bedrooms,1400,17,Not furnished,Yes,6/19/2022,No,Yes,Rent,No,1514,4,Others,High,London,,
193 Victoria Manor,WEST MIDLANDS,Four or more Bedrooms,510,4,Furnished,Yes,6/20/2022,No,No,Rent,No,1243,5,Others,Low,Greater London,,
56 Merton Estate,City of London,One Bedroom,450,9,Furnished,No,6/21/2022,No,Yes,Buy,No,623,1,Others,Low,Greater London,,
30 Elizabeth Drive,Newham,Two Bedroom,950,20,Not furnished,Yes,6/22/2022,No,Yes,Rent,No,704,2,Others,High,Greater London,,
13 East Crescent,Westminster,Two Bedroom,2383,20,Not furnished,No,6/23/2022,No,No,Buy,No,793,1,Others,Middle,Greater London,,
153 Diamond Street,Hammersmith and Fulham,Three Bedroom,2275,1,Not furnished,Yes,6/24/2022,No,Yes,Rent,Yes,956,1,Others,Middle,Greater London,,
134 St. John's Road,Redbridge,Two Bedroom,900,18,Partially Furnished,Yes,6/25/2022,No,Yes,Buy,No,714,1,Others,High,London,,
14 St. James Street,Enfield,Three Bedroom,1250,28,Partially Furnished,No,6/26/2022,Yes,No,Rent,Yes,1134,2,Others,High,London,,
33 Grange Road,EAST,Four or more Bedrooms,595,11,Not furnished,No,6/27/2022,No,No,Buy,No,1298,7,Others,Middle,Greater London,,
91 East Street,Westminster,One Bedroom,750,10,Furnished,No,6/28/2022,No,No,Rent,No,510,1,Others,Low,London,,
55 St. John's Avenue,Hillingdon,One Bedroom,420,25,Not furnished,Yes,6/29/2022,No,No,Buy,No,608,1,Others,High,London,,
48 North Drive,Ealing,One Bedroom,450,2,Partially Furnished,No,6/30/2022,No,Yes,Buy,No,529,1,Others,Low,Greater London,,
52 Duchess Road,Kensington and Chelsea,Four or more Bedrooms,8667,3,Not furnished,No,7/1/2022,Yes,Yes,Buy,Yes,1500,5,Others,Low,Greater London,,
160 St. John's Street,Kensington and Chelsea,One Bedroom,1809,3,Not furnished,Yes,7/2/2022,No,No,Buy,Yes,406,1,Others,High,London,,
164 Grange Road,EAST,One Bedroom,480,30,Partially Furnished,Yes,7/3/2022,No,Yes,Buy,No,486,1,Others,Low,London,,
7 East Drive,WEST MIDLANDS,Two Bedroom,500,10,Not furnished,Yes,7/4/2022,Yes,No,Rent,Yes,717,2,Others,Middle,London,,
9 Elizabeth Avenue,Barking and Dagenham,One Bedroom,675,12,Partially Furnished,No,7/5/2022,No,Yes,Rent,Yes,496,1,Others,Low,Greater London,,
45 South Drive,Croydon,One Bedroom,400,3,Furnished,No,7/6/2022,No,No,Rent,No,457,1,Others,Middle,Greater London,,
164 St. James Road,LONDON,One Bedroom,953,6,Not furnished,Yes,7/7/2022,No,No,Buy,No,451,1,Others,High,London,,
76 East Crescent,Barnet,Four or more Bedrooms,2427,18,Partially Furnished,Yes,7/8/2022,Yes,No,Buy,No,1275,5,Others,High,Greater London,,
21 Duchess Lane,LONDON,Four or more Bedrooms,1075,10,Furnished,No,7/9/2022,Yes,Yes,Rent,No,1528,6,Others,Low,London,,
16 South Avenue,Southwark,Four or more Bedrooms,1200,1,Not furnished,No,7/10/2022,Yes,No,Rent,Yes,1260,5,Others,High,London,,
177 Merton Lane,Havering,One Bedroom,368,9,Furnished,No,7/11/2022,Yes,No,Rent,No,557,1,Others,High,Greater London,,
116 St. John's Street,Inner London,One Bedroom,449,8,Partially Furnished,Yes,7/12/2022,Yes,No,Rent,Yes,472,1,Others,Low,London,,
8 St. James Avenue,Outer London,Three Bedroom,1200,7,Partially Furnished,No,7/13/2022,No,Yes,Buy,Yes,1134,2,Others,Low,London,,
45 St. John's Street,Barnet,Three Bedroom,1517,6,Furnished,No,7/14/2022,No,Yes,Buy,Yes,1195,3,Others,Middle,Greater London,,
120 South Manor,SOUTH WEST,One Bedroom,475,16,Furnished,Yes,7/15/2022,Yes,No,Buy,Yes,525,1,Others,High,London,,
150 Elizabeth Road,Hounslow,Four or more Bedrooms,1575,11,Not furnished,Yes,7/16/2022,Yes,Yes,Buy,No,1218,4,Others,Low,London,,
38 St. James Lane,Lewisham,One Bedroom,400,11,Partially Furnished,No,7/17/2022,Yes,No,Rent,Yes,634,1,Others,Middle,Greater London,,
69 Grange Manor,Haringey,Four or more Bedrooms,962,3,Not furnished,Yes,7/18/2022,Yes,No,Buy,Yes,1211,6,Others,Low,London,,
78 North Estate,Barking and Dagenham,Three Bedroom,1000,25,Partially Furnished,Yes,7/19/2022,No,No,Rent,Yes,989,3,Others,Low,London,,
143 Elizabeth Avenue,Barnet,Two Bedroom,1170,1,Not furnished,No,7/20/2022,Yes,No,Rent,Yes,745,2,Others,Middle,London,,
174 East Crescent,Newham,Four or more Bedrooms,1400,6,Not furnished,No,7/21/2022,Yes,No,Buy,Yes,1536,7,Terrace,Low,Greater London,,
153 North Crescent,Harrow,Four or more Bedrooms,1000,8,Partially Furnished,Yes,7/22/2022,No,No,Buy,No,1215,4,Terrace,Low,Greater London,,
111 North Manor,Merton,One Bedroom,412,25,Furnished,Yes,7/23/2022,No,No,Buy,No,463,1,Terrace,Low,Greater London,,
76 Victoria Avenue,NORTH WEST,Four or more Bedrooms,795,29,Not furnished,No,7/24/2022,No,No,Rent,Yes,1445,7,Terrace,Low,Greater London,,
100 St. James Avenue,Richmond upon Thames,One Bedroom,901,10,Partially Furnished,No,7/25/2022,Yes,No,Rent,No,432,1,Terrace,Low,Greater London,,
193 St. James Street,Harrow,Two Bedroom,1000,30,Not furnished,No,7/26/2022,No,Yes,Rent,Yes,700,2,Terrace,Low,London,,
19 Merton Crescent,Waltham Forest,One Bedroom,750,17,Furnished,No,7/27/2022,No,No,Buy,No,444,1,Terrace,Low,London,,
142 Grange Estate,Bexley,Two Bedroom,795,2,Partially Furnished,Yes,7/28/2022,Yes,Yes,Buy,Yes,704,2,Terrace,Low,London,,
163 South Street,EAST,Three Bedroom,675,13,Partially Furnished,No,7/29/2022,Yes,No,Rent,No,1100,3,Terrace,Low,Greater London,,
147 South Avenue,Lambeth,Three Bedroom,1532,26,Furnished,Yes,7/30/2022,No,No,Rent,No,1118,3,Terrace,Low,London,,
50 Grange Crescent,Hounslow,One Bedroom,825,26,Furnished,No,7/31/2022,Yes,Yes,Buy,No,659,1,Terrace,Low,Greater London,,
141 West Street,Westminster,One Bedroom,1603,21,Not furnished,No,8/1/2022,Yes,Yes,Buy,No,449,1,Terrace,Low,London,,
35 North Estate,Richmond upon Thames,Four or more Bedrooms,1050,29,Partially Furnished,No,8/2/2022,Yes,Yes,Rent,No,1241,7,Terrace,Low,London,,
36 Grange Drive,Westminster,Three Bedroom,3120,9,Furnished,No,8/3/2022,No,No,Buy,Yes,1062,3,Terrace,Low,Greater London,,
195 Duchess Street,Richmond upon Thames,One Bedroom,368,23,Furnished,Yes,8/4/2022,Yes,No,Rent,Yes,656,1,Terrace,Low,Greater London,,
174 Merton Street,Kingston upon Thames,Four or more Bedrooms,1950,13,Not furnished,No,8/5/2022,No,Yes,Buy,No,1440,4,Terrace,Low,London,,
15 East Street,SOUTH EAST,One Bedroom,565,6,Furnished,Yes,8/6/2022,No,Yes,Buy,No,535,1,Terrace,Low,London,,
58 Victoria Road,Redbridge,Four or more Bedrooms,875,8,Partially Furnished,Yes,8/7/2022,Yes,No,Buy,No,1257,5,Terrace,Low,London,,
87 St. James Drive,Sutton,Three Bedroom,1150,3,Furnished,Yes,8/8/2022,Yes,Yes,Rent,Yes,1076,2,Terrace,Low,Greater London,,
159 St. James Manor,Wandsworth,One Bedroom,1127,1,Not furnished,No,8/9/2022,Yes,Yes,Buy,Yes,661,1,Terrace,Low,Greater London,,
88 Elizabeth Crescent,EAST MIDLANDS,Two Bedroom,485,28,Furnished,Yes,8/10/2022,No,No,Rent,No,798,1,Terrace,Low,London,,
126 Duchess Avenue,Bexley,Four or more Bedrooms,775,24,Furnished,No,8/11/2022,Yes,Yes,Buy,Yes,1507,4,Terrace,Low,London,,
10 Grange Manor,Redbridge,One Bedroom,390,30,Not furnished,Yes,8/12/2022,No,No,Rent,Yes,607,1,Terrace,Low,Greater London,,
153 St. John's Road,Harrow,Four or more Bedrooms,1650,9,Partially Furnished,Yes,8/13/2022,No,Yes,Rent,Yes,1248,4,Terrace,Low,Greater London,,
182 West Manor,Barking and Dagenham,Two Bedroom,850,1,Not furnished,Yes,8/14/2022,Yes,Yes,Rent,No,829,1,Terrace,Low,Greater London,,
120 Diamond Street,EAST,One Bedroom,347,23,Furnished,Yes,8/15/2022,Yes,Yes,Buy,Yes,492,1,Terrace,Low,Greater London,,
60 West Manor,Tower Hamlets,Four or more Bedrooms,1278,12,Not furnished,Yes,8/16/2022,No,Yes,Buy,Yes,1417,6,Terrace,Low,Greater London,,
126 St. John's Avenue,Croydon,Two Bedroom,900,28,Not furnished,Yes,8/17/2022,No,No,Buy,No,811,2,Terrace,Low,London,,
112 St. John's Lane,Hammersmith and Fulham,Four or more Bedrooms,1430,26,Not furnished,No,8/18/2022,No,No,Rent,Yes,1314,6,Terrace,Low,Greater London,,
26 East Crescent,Croydon,One Bedroom,700,23,Not furnished,Yes,8/19/2022,Yes,No,Rent,No,486,1,Terrace,Low,London,,
103 West Crescent,NORTH WEST,Two Bedroom,495,30,Furnished,Yes,8/20/2022,Yes,Yes,Rent,No,709,2,Terrace,Low,Greater London,,
144 Grange Drive,Brent,One Bedroom,953,1,Furnished,No,8/21/2022,Yes,Yes,Buy,Yes,491,1,Terrace,Low,London,,
3 Elizabeth Manor,Greenwich,Two Bedroom,900,5,Furnished,Yes,8/22/2022,No,No,Buy,No,795,1,Terrace,Low,Greater London,,
72 South Crescent,Hillingdon,Two Bedroom,925,29,Not furnished,No,8/23/2022,No,Yes,Rent,Yes,763,2,Terrace,Low,London,,
199 North Manor,Harrow,Two Bedroom,975,5,Furnished,Yes,8/24/2022,No,Yes,Buy,No,790,2,Terrace,Low,London,,
203 West Avenue,Greenwich,One Bedroom,390,10,Partially Furnished,No,8/25/2022,Yes,Yes,Buy,Yes,453,1,Terrace,Low,Greater London,,
107 Grange Estate,Hounslow,Four or more Bedrooms,1000,26,Furnished,No,8/26/2022,Yes,No,Rent,Yes,1293,7,Terrace,Low,Greater London,,
159 North Road,Tower Hamlets,One Bedroom,1170,8,Furnished,Yes,8/27/2022,No,No,Rent,Yes,482,1,Terrace,Low,London,,
48 Diamond Estate,Kensington and Chelsea,Four or more Bedrooms,2167,3,Not furnished,No,8/28/2022,Yes,No,Buy,Yes,1591,5,Terrace,Low,Greater London,,
116 Diamond Estate,EAST,Four or more Bedrooms,1020,7,Partially Furnished,Yes,8/29/2022,Yes,No,Buy,Yes,1371,4,Terrace,Low,London,,
139 West Crescent,YORKSHIRE AND THE HUMBER,Three Bedroom,525,26,Furnished,No,8/30/2022,No,Yes,Buy,Yes,984,1,Terrace,Low,Greater London,,
106 Diamond Road,Wandsworth,One Bedroom,412,13,Furnished,No,8/31/2022,No,No,Rent,Yes,537,1,Terrace,Low,Greater London,,
193 Merton Crescent,LONDON,Four or more Bedrooms,2002,7,Furnished,Yes,9/1/2022,Yes,Yes,Buy,Yes,1499,4,Terrace,Low,Greater London,,
75 Diamond Street,Enfield,Three Bedroom,1250,13,Furnished,Yes,9/2/2022,No,Yes,Buy,No,1155,2,Terrace,Low,London,,
74 Duchess Estate,Hackney,Two Bedroom,1387,21,Not furnished,Yes,9/3/2022,No,No,Rent,No,704,2,Terrace,Low,Greater London,,
139 Diamond Crescent,Enfield,Four or more Bedrooms,1600,1,Partially Furnished,No,9/4/2022,No,Yes,Rent,Yes,1442,7,Terrace,Low,London,,
105 Grange Crescent,NORTH EAST,Two Bedroom,450,20,Not furnished,Yes,9/5/2022,No,No,Buy,Yes,702,1,Terrace,Low,Greater London,,
10 Merton Manor,LONDON,One Bedroom,420,14,Furnished,No,9/6/2022,Yes,Yes,Rent,No,405,1,Terrace,Low,London,,
134 North Lane,EAST MIDLANDS,Two Bedroom,475,23,Not furnished,Yes,9/7/2022,Yes,Yes,Rent,Yes,785,1,Terrace,Low,Greater London,,
20 Duchess Lane,Ealing,Four or more Bedrooms,2097,1,Partially Furnished,No,9/8/2022,Yes,No,Rent,Yes,1313,5,Terrace,Low,Greater London,,
56 St. John's Estate,Richmond upon Thames,Four or more Bedrooms,2900,18,Furnished,Yes,9/9/2022,Yes,No,Rent,No,1284,5,Terrace,Low,London,,
